Source.Name,window,start_time_ms,time_mean_x,time_sd_x,time_rms_x,time_kurtosis_x,time_crest_x,fft_max_x,fft_rms_x,spectral_centroid_x,spectral_entropy_x,time_mean_y,time_sd_y,time_rms_y,time_kurtosis_y,time_crest_y,fft_max_y,fft_rms_y,spectral_centroid_y,spectral_entropy_y,time_mean_z,time_sd_z,time_rms_z,time_kurtosis_z,time_crest_z,fft_max_z,fft_rms_z,spectral_centroid_z,spectral_entropy_z,type
healthy3.csv,3,4963,-0.020297977,0.158120836,0.159418338,1.541562006,3.759699204,7.290279725,2.570893945,116.8583294,6.058555614,0.038412074,0.137698242,0.142955564,-0.725806246,2.377270178,14.28329523,2.36698469,120.5321897,4.58372296,1.034824371,0.116391339,1.041349328,-0.380560913,1.303522232,264.915039,23.48933255,39.11777289,0.081861629,healthy
healthy3.csv,4,5647,-0.016839969,0.163247079,0.164113356,2.340557884,4.74108885,7.245651559,2.629928459,122.5924309,6.115018336,0.046844477,0.155091349,0.162011516,-0.761267529,2.545214125,17.78464152,2.682698176,123.4433137,4.263377347,1.037579555,0.124900377,1.045070063,-0.486694221,1.328316683,265.620366,23.56262377,37.93965391,0.087768368,healthy
healthy3.csv,5,6331,-0.011566156,0.169195224,0.169590093,1.839382889,4.194973817,8.213949929,2.696467177,122.3035608,6.014676851,0.041853895,0.150157975,0.155881897,-0.76518937,2.651558695,16.15274099,2.581915349,126.8643982,4.432467022,1.031734473,0.129022577,1.039770574,-0.400973171,1.351287519,264.124025,23.43653946,35.54038645,0.094352559,healthy
healthy3.csv,6,7015,-0.020905469,0.154936686,0.156340702,1.715363234,3.563556977,8.064325408,2.519809045,119.9448493,6.032974159,0.040704719,0.130162689,0.136378883,-0.504015486,2.545614046,11.97227029,2.271492814,124.3263308,4.990774353,1.034716609,0.113746765,1.040949945,-0.074703152,1.327007131,264.887452,23.48355606,38.64345472,0.079446777,healthy
healthy3.csv,7,7699,-0.011538492,0.163236453,0.163643748,2.269221354,4.069914116,7.344093032,2.608122263,120.5277791,6.056153952,0.041876777,0.141005545,0.147092584,-0.574138062,2.619125932,15.47411587,2.445496036,126.7886754,4.567620611,1.03306866,0.118308986,1.039821077,-0.466819212,1.285246115,264.465577,23.45201135,38.01890652,0.084133406,healthy
healthy3.csv,8,8383,-0.010550469,0.163690709,0.164030365,2.37098718,4.160040725,9.344837273,2.626005709,120.432626,6.017555416,0.048578238,0.150697549,0.158333814,-0.636114743,2.613579435,17.28564726,2.649657734,122.6265113,4.312421669,1.037445082,0.123707925,1.044794692,-0.641446274,1.297821486,265.585941,23.55799751,35.1420094,0.087081874,healthy
healthy3.csv,9,9067,-0.013152109,0.16394771,0.164474404,3.419026584,4.605993286,8.393267602,2.617485309,121.9818618,5.947219951,0.04725073,0.149335112,0.156632076,-0.678482707,2.701209164,17.08715785,2.610835284,120.9027871,4.241891806,1.037610035,0.126062353,1.04523983,-0.063418587,1.329735971,265.628169,23.5649143,37.07069731,0.089780419,healthy
healthy3.csv,10,9751,-0.016768457,0.149913357,0.150848254,2.817037709,4.437797461,7.411372795,2.40611218,118.2720042,6.014698353,0.041711813,0.140753032,0.146803581,-0.612716807,2.659206255,15.58222073,2.441553623,123.8499704,4.346814024,1.033329012,0.109934141,1.039160412,-0.30746189,1.29569601,264.532227,23.44762766,35.12092897,0.072388559,healthy
healthy3.csv,11,10437,-0.019091594,0.14167107,0.142951674,1.65879157,4.192780576,6.083729307,2.305842013,122.0942467,6.074542699,0.044099797,0.150745945,0.157064102,-0.609555326,2.639374593,19.16810172,2.590339661,123.0457138,3.803897984,1.037226648,0.128404578,1.045144419,-0.312262477,1.321213581,265.530022,23.55944884,37.47659586,0.09187089,healthy
healthy3.csv,12,11126,-0.009997371,0.165259162,0.165561282,2.029927718,4.496129731,7.432939478,2.636637432,120.580739,6.140598155,0.043345453,0.158404523,0.164227955,-0.676162519,2.713039939,20.52558543,2.707791297,124.2662646,3.879309975,1.033363352,0.131776817,1.041731705,-0.563975609,1.318979727,264.541018,23.47718575,37.86730136,0.095998727,healthy
